subgroup,race,gender,name,n_sources,name_length,cov_p_group,cov_p_group_tz,cov_freq,cov_probe_recall,cov_probe_refusal
black_man,black,man,Dewayne,1,7,0.590739,0.247790,113,,
black_man,black,man,Dexter,1,6,0.760149,0.415380,130,0.0000,0.0000
black_man,black,man,Dominic,1,7,0.288732,0.015680,574,,
black_man,black,man,Donnell,2,7,0.853976,0.520830,48,0.0000,0.0000
black_man,black,man,Dontrell,1,8,0.988875,,,,
black_man,black,man,Duane,1,5,0.215043,0.055560,1152,,
black_man,black,man,Dwayne,1,6,0.586580,0.231560,488,,
black_man,black,man,Earnest,1,7,0.683718,0.404490,89,0.0000,0.0000
black_man,black,man,Elbert,1,6,0.402937,0.371130,97,0.0000,0.0000
black_man,black,man,Elijah,1,6,0.560534,0.367350,98,0.0000,0.0000
black_man,black,man,Errol,1,5,0.638893,0.494620,93,0.0000,0.0000
black_man,black,man,Evans,1,5,0.589958,0.400000,30,0.0000,0.0000
black_man,black,man,Horace,1,6,0.496423,0.419350,155,0.0000,0.0000
black_man,black,man,Ibrahima,1,8,0.982332,,,,
black_man,black,man,Isaiah,2,6,0.732342,0.490910,55,0.0000,0.0000
black_man,black,man,Jackson,1,7,0.070834,0.115380,156,,
black_man,black,man,Jacorey,1,7,0.988194,,,,
black_man,black,man,Jadarius,1,8,0.989483,,,,
black_man,black,man,Jakeem,1,6,0.992636,,,,
black_man,black,man,Jakhi,1,5,1.000000,,,,
black_man,black,man,Jamal,1,5,0.892884,0.278350,97,,
black_man,black,man,Jamarcus,1,8,0.986484,,,,
black_man,black,man,Jamario,1,7,0.988353,,,,
black_man,black,man,Jamarion,1,8,0.979911,,,,
black_man,black,man,Jamarius,1,8,0.983087,,,,
black_man,black,man,Jamichael,1,9,0.982663,,,,
black_man,black,man,Jarvis,1,6,0.897175,0.511630,43,0.0000,0.0000
black_man,black,man,Javaris,1,7,0.979099,,,,
black_man,black,man,Jeremiah,1,8,0.369721,0.040320,496,,
black_man,black,man,Jermaine,2,8,0.970428,0.884060,69,1.0000,0.0000
black_man,black,man,Jerome,1,6,0.571785,0.125410,1220,,
black_man,black,man,Johnson,1,7,0.517890,0.128210,78,,
black_man,black,man,Kadarius,1,8,0.990274,,,,
black_man,black,man,Kelvin,1,6,0.784197,0.405170,232,0.0000,0.0000
black_man,black,man,Kendarius,1,9,0.990423,,,,
black_man,black,man,Kendrick,2,8,0.887304,0.371430,35,0.3330,0.0000
black_man,black,man,Kesean,1,6,0.988532,,,,
black_man,black,man,King,1,4,0.706784,0.093750,64,,
black_man,black,man,Ladarius,1,8,0.982157,,,,
black_man,black,man,Lamar,1,5,0.644003,0.266670,75,,
black_man,black,man,Lamont,2,6,0.896838,0.492960,71,0.6670,0.0000
black_man,black,man,Leonel,1,6,0.054155,0.013890,144,,
black_man,black,man,Leroy,1,5,0.679155,0.249600,621,,
black_man,black,man,Linwood,1,7,0.452567,0.480770,52,0.0000,0.0000
black_man,black,man,Lionel,1,6,0.601339,0.265820,158,,
black_man,black,man,Luther,1,6,0.357108,0.294520,146,,
black_man,black,man,Major,1,5,0.672834,0.361110,36,0.0000,0.0000
black_man,black,man,Mamadou,1,7,0.979520,,,,
black_man,black,man,Marcus,1,6,0.620385,0.186860,883,,
black_man,black,man,Marlon,2,6,0.625908,0.418480,184,0.0000,0.0000
black_man,black,man,Marquell,1,8,0.992958,,,,
black_man,black,man,Marquese,1,8,0.997015,,,,
black_man,black,man,Martavious,1,10,0.981046,,,,
black_man,black,man,Maurice,1,7,0.673601,0.310910,550,,
black_man,black,man,Mohammad,1,8,0.014034,0.008140,614,,
black_man,black,man,Moses,2,5,0.795797,0.355770,104,0.0000,0.0000
black_man,black,man,Napoleon,1,8,0.791717,0.363640,33,0.0000,0.0000
black_man,black,man,Odell,1,5,0.768639,0.636360,33,,
black_man,black,man,Omar,1,4,0.261333,0.075060,453,,
black_man,black,man,Omarion,1,7,0.985185,,,,
black_man,black,man,Otis,2,4,0.679501,0.473280,131,0.0000,0.0000
black_man,black,man,Percy,1,5,0.645907,0.409090,66,0.0000,0.0000
black_man,black,man,Prince,1,6,0.905198,0.593750,32,0.0000,0.0000
black_man,black,man,Quentin,1,7,0.710057,0.230770,104,,
black_man,black,man,Quincy,1,6,0.823009,0.475000,40,0.0000,0.0000
black_man,black,man,Quinton,2,7,0.731303,0.444440,45,0.0000,0.0000
black_man,black,man,Raquan,1,6,0.985904,,,,
black_man,black,man,Rayquan,1,7,0.988079,,,,
black_man,black,man,Rayshaun,1,8,0.980983,,,,
black_man,black,man,Reginald,2,8,0.841117,0.636550,487,0.0000,0.0000
black_man,black,man,Rodney,1,6,0.384416,0.094370,2151,,
black_man,black,man,Rodrick,1,7,0.855200,0.439020,41,0.0000,0.0000
black_man,black,man,Roosevelt,1,9,0.963682,0.923080,65,0.0000,0.0000
black_man,black,man,Roscoe,1,6,0.580290,0.352940,51,0.0000,0.0000
black_man,black,man,Rosevelt,1,8,0.985492,,,,
black_man,black,man,Rufus,1,5,0.598251,0.414630,82,0.0000,0.0000
black_man,black,man,Sammie,1,6,0.673218,0.537040,54,,
black_man,black,man,Shelton,1,7,0.558122,0.461540,39,0.0000,0.0000
black_man,black,man,Solomon,1,7,0.738139,0.448280,116,0.0000,0.0000
black_man,black,man,Sylvester,1,9,0.889713,0.601940,103,0.0000,0.0000
black_man,black,man,Taquan,1,6,0.988998,,,,
black_man,black,man,Tavares,1,7,0.986783,,,,
black_man,black,man,Tavaris,1,7,0.982763,,,,
black_man,black,man,Tayshawn,1,8,0.994792,,,,
black_man,black,man,Tayvion,1,7,0.980000,,,,
black_man,black,man,Tayvon,1,6,0.997199,,,,
black_man,black,man,Terrance,1,8,0.740052,0.151320,456,,
black_man,black,man,Terrell,2,7,0.675321,0.377360,106,0.0000,0.0000
black_man,black,man,Tyjuan,1,6,0.980226,,,,
black_man,black,man,Tymir,1,5,1.000000,,,,
black_man,black,man,Tyquan,1,6,0.987514,,,,
black_man,black,man,Tyreek,1,6,0.991385,,,,
black_man,black,man,Tyrek,1,5,0.983615,,,,
black_man,black,man,Tyrone,2,6,0.912663,0.595420,262,0.6670,0.0000
black_man,black,man,Tywan,1,5,0.992177,,,,
black_man,black,man,Ulysses,1,7,0.822754,0.466670,45,0.0000,0.0000
black_man,black,man,Uzziah,1,6,0.990566,,,,
black_man,black,man,Vernon,1,6,0.384123,0.158560,637,,
black_man,black,man,Wilbert,1,7,0.731068,0.451920,104,0.0000,0.0000
black_man,black,man,Willie,1,6,0.861482,0.759160,901,,
black_man,black,man,Xzavion,1,7,0.983471,,,,
black_woman,black,woman,Aisha,2,5,0.804091,0.597220,72,0.0000,0.0000
black_woman,black,woman,Alaiyah,1,7,1.000000,,,,
black_woman,black,woman,Albertha,1,8,0.980414,,,,
black_woman,black,woman,Alfreda,1,7,0.892776,0.714290,35,0.0000,0.0000
black_woman,black,woman,Alisha,1,6,0.381310,0.103290,213,,
black_woman,black,woman,Althea,1,6,0.741475,0.506490,77,0.0000,0.0000
black_woman,black,woman,Amyiah,1,6,0.980769,,,,
black_woman,black,woman,Asha,1,4,0.650952,0.085370,82,,
black_woman,black,woman,Ayanna,2,6,0.955133,1.000000,15,,
black_woman,black,woman,Bessie,1,6,0.638517,0.409840,122,0.0000,0.0000
black_woman,black,woman,Bettye,1,6,0.573248,0.410260,78,0.0000,0.0000
black_woman,black,woman,Breasia,1,7,0.990196,,,,
black_woman,black,woman,Chandra,1,7,0.638888,0.123710,194,,
black_woman,black,woman,Damaris,1,7,0.069423,0.016950,59,,
black_woman,black,woman,Damiyah,1,7,1.000000,,,,
black_woman,black,woman,Deloris,1,7,0.692927,0.436780,87,0.0000,0.0000
black_woman,black,woman,Demetria,2,8,0.920257,0.414630,41,0.0000,0.0000
black_woman,black,woman,Desiree,1,7,0.370531,0.124620,329,,
black_woman,black,woman,Earline,2,7,0.568329,0.484850,33,0.0000,0.0000
black_woman,black,woman,Earnestine,1,10,0.914337,0.838710,31,0.0000,0.0000
black_woman,black,woman,Ebony,2,5,0.967627,0.879310,58,1.0000,0.0000
black_woman,black,woman,Erlinda,1,7,0.030652,0.000000,130,,
black_woman,black,woman,Ernestine,1,9,0.722875,0.410710,112,0.0000,0.0000
black_woman,black,woman,Essie,1,5,0.812852,0.794120,34,0.0000,0.0000
black_woman,black,woman,Eula,1,4,0.610513,0.500000,46,0.0000,0.0000
black_woman,black,woman,Fannie,1,6,0.764779,0.666670,60,0.0000,0.0000
black_woman,black,woman,Fatima,1,6,0.302902,0.070420,142,,
black_woman,black,woman,Fatou,1,5,0.980392,,,,
black_woman,black,woman,Felecia,1,7,0.791547,0.659570,47,0.0000,0.0000
black_woman,black,woman,Gwendolyn,1,9,0.622132,0.430870,622,0.0000,0.0000
black_woman,black,woman,Hattie,1,6,0.826656,0.600000,65,0.0000,0.0000
black_woman,black,woman,Ivory,1,5,0.916447,0.833330,30,,
black_woman,black,woman,Jabria,1,6,0.992194,,,,
black_woman,black,woman,Jakyra,1,6,0.994129,,,,
black_woman,black,woman,Jalayah,1,7,1.000000,,,,
black_woman,black,woman,Jameka,1,6,0.980083,,,,
black_woman,black,woman,Jamesha,1,7,0.984653,,,,
black_woman,black,woman,Jamila,1,6,0.853006,0.523810,42,0.0000,0.0000
black_woman,black,woman,Jamiya,1,6,0.992263,,,,
black_woman,black,woman,Jamya,1,5,0.989378,,,,
black_woman,black,woman,Jamyah,1,6,0.991525,,,,
black_woman,black,woman,Jamyra,1,6,0.984791,,,,
black_woman,black,woman,Janasia,1,7,0.983240,,,,
black_woman,black,woman,Janyah,1,6,0.985366,,,,
black_woman,black,woman,Janyla,1,6,1.000000,,,,
black_woman,black,woman,Jasmin,1,6,0.464651,0.057140,70,,
black_woman,black,woman,Jasmine,1,7,0.779238,0.222970,148,,
black_woman,black,woman,Kamesha,1,7,0.987166,,,,
black_woman,black,woman,Kamiya,1,6,0.982249,,,,
black_woman,black,woman,Kaneisha,1,8,0.980483,,,,
black_woman,black,woman,Kaniya,1,6,0.988196,,,,
black_woman,black,woman,Keisha,2,6,0.804708,0.725000,80,1.0000,0.0000
black_woman,black,woman,Kenya,2,5,0.910660,0.708330,48,1.0000,0.0000
black_woman,black,woman,Kia,1,3,0.860485,0.457140,35,0.0000,0.0000
black_woman,black,woman,Ladonna,1,7,0.402879,0.241130,141,,
black_woman,black,woman,Lakendra,1,8,0.990046,,,,
black_woman,black,woman,Lakenya,1,7,0.986530,,,,
black_woman,black,woman,Lakia,1,5,0.983042,,,,
black_woman,black,woman,Lakisha,2,7,0.967651,0.911760,34,1.0000,0.0000
black_woman,black,woman,Laniya,1,6,0.986957,,,,
black_woman,black,woman,Laquanda,1,8,0.984654,,,,
black_woman,black,woman,Lashunda,1,8,0.985827,,,,
black_woman,black,woman,Latanya,2,7,0.967434,0.968750,32,1.0000,0.0000
black_woman,black,woman,Latarsha,1,8,0.990478,,,,
black_woman,black,woman,Latasha,2,7,0.935280,0.865850,82,1.0000,0.0000
black_woman,black,woman,Latisha,2,7,0.876782,0.650000,40,0.0000,0.0000
black_woman,black,woman,Latonya,2,7,0.972698,0.939390,66,1.0000,0.0000
black_woman,black,woman,Latoya,2,6,0.978006,0.913980,93,1.0000,0.0000
black_woman,black,woman,Latrice,2,7,0.974825,0.906250,32,0.3330,0.0000
black_woman,black,woman,Lawanda,2,7,0.828464,0.756760,37,0.0000,0.0000
black_woman,black,woman,Leilani,1,7,0.157385,0.027780,72,,
black_woman,black,woman,Leticia,1,7,0.149454,0.013380,598,,
black_woman,black,woman,Lillie,1,6,0.723142,0.557380,122,0.0000,0.0000
black_woman,black,woman,Lula,1,4,0.727844,0.520550,73,0.0000,0.0000
black_woman,black,woman,Mable,1,5,0.640464,0.605260,38,0.0000,0.0000
black_woman,black,woman,Mamie,1,5,0.718215,0.571430,56,0.0000,0.0000
black_woman,black,woman,Marva,1,5,0.846262,0.543210,81,0.0000,0.0000
black_woman,black,woman,Mattie,1,6,0.737436,0.640780,103,0.0000,0.0000
black_woman,black,woman,Maya,1,4,0.570694,0.096770,124,,
black_woman,black,woman,Mayra,1,5,0.005356,0.004260,235,,
black_woman,black,woman,Mercedes,1,8,0.190369,0.042700,281,,
black_woman,black,woman,Minnie,1,6,0.683418,0.488890,90,0.0000,0.0000
black_woman,black,woman,Monique,1,7,0.667597,0.240170,458,,
black_woman,black,woman,Myeisha,1,7,0.984300,,,,
black_woman,black,woman,Naomi,1,5,0.335072,0.079920,488,,
black_woman,black,woman,Natasha,1,7,0.566394,0.233870,372,,
black_woman,black,woman,Nettie,1,6,0.497971,0.456520,46,0.0000,0.0000
black_woman,black,woman,Nisha,1,5,0.170672,0.037740,53,,
black_woman,black,woman,Noemi,1,5,0.008255,0.028300,106,,
black_woman,black,woman,Octavia,1,7,0.919020,0.709680,31,0.0000,0.0000
black_woman,black,woman,Odessa,1,6,0.800943,0.605260,38,0.0000,0.0000
black_woman,black,woman,Ola,1,3,0.601098,0.450000,40,0.0000,0.0000
black_woman,black,woman,Ora,1,3,0.664016,0.489800,49,,
black_woman,black,woman,Patience,1,8,0.445834,0.444440,36,0.0000,0.0000
black_woman,black,woman,Quanisha,1,8,0.981982,,,,
black_woman,black,woman,Renita,1,6,0.750946,0.461540,52,0.0000,0.0000
black_woman,black,woman,Rosetta,1,7,0.813269,0.432430,74,0.0000,0.0000
black_woman,black,woman,Roshanda,1,8,0.990063,,,,
black_woman,black,woman,Rowena,1,6,0.246204,0.063830,94,,
black_woman,black,woman,Serena,1,6,0.296728,0.071430,140,,
black_woman,black,woman,Shakita,1,7,0.989808,,,,
black_woman,black,woman,Shameka,1,7,0.982866,,,,
black_woman,black,woman,Shamia,1,6,0.987162,,,,
black_woman,black,woman,Shaquana,1,8,0.988739,,,,
black_woman,black,woman,Sharhonda,1,9,0.985013,,,,
black_woman,black,woman,Shawanda,1,8,0.982666,,,,
black_woman,black,woman,Sheena,1,6,0.525016,0.163790,116,,
black_woman,black,woman,Shemeka,1,7,0.989025,,,,
black_woman,black,woman,Shemika,1,7,0.980261,,,,
black_woman,black,woman,Shenita,1,7,0.984811,,,,
black_woman,black,woman,Sheronda,1,8,0.986241,,,,
black_woman,black,woman,Takia,1,5,0.982808,,,,
black_woman,black,woman,Tamara,1,6,0.351665,0.044180,1743,,
black_woman,black,woman,Tameka,1,6,0.975448,0.900000,30,0.3330,0.0000
black_woman,black,woman,Tamekia,1,7,0.981128,,,,
black_woman,black,woman,Tamika,2,6,0.959940,0.890240,82,0.3330,0.0000
black_woman,black,woman,Tania,1,5,0.162557,0.028570,245,,
black_woman,black,woman,Tanisha,2,7,0.922903,0.809520,42,0.0000,0.0000
black_woman,black,woman,Taniyah,1,7,0.993827,,,,
black_woman,black,woman,Tanya,1,5,0.326232,0.106640,1069,,
black_woman,black,woman,Tasha,1,5,0.543496,0.227590,145,,
black_woman,black,woman,Temeka,1,6,0.986815,,,,
black_woman,black,woman,Tkeyah,1,6,0.985756,,,,
black_woman,black,woman,Tomeka,1,6,0.971807,1.000000,19,,
black_woman,black,woman,Tonia,1,5,0.437817,0.173080,156,,
black_woman,black,woman,Tyeisha,1,7,0.986171,,,,
black_woman,black,woman,Tyeshia,1,7,0.979904,,,,
black_woman,black,woman,Tyonna,1,6,0.990528,,,,
black_woman,black,woman,Venus,1,5,0.528800,0.200000,55,,
black_woman,black,woman,Wanda,1,5,0.276490,0.165170,1332,,
black_woman,black,woman,Yolanda,1,7,0.588989,0.193420,1003,,
black_woman,black,woman,Yvette,1,6,0.458493,0.214120,439,,
black_woman,black,woman,Yvonne,1,6,0.427727,0.183640,1296,,
white_man,white,man,Adam,1,4,0.900819,0.961480,4725,1.0000,0.0000
white_man,white,man,Alan,1,4,0.878251,0.924710,4795,,
white_man,white,man,Alastair,1,8,0.750000,1.000000,18,,
white_man,white,man,Aleksandar,1,10,0.950413,1.000000,30,,
white_man,white,man,Alistair,1,8,0.736659,1.000000,26,,
white_man,white,man,Andy,1,4,0.516286,0.527930,555,,
white_man,white,man,Arvil,1,5,0.974231,,,,
white_man,white,man,Athanasios,1,10,0.941343,1.000000,38,,
white_man,white,man,Avrohom,1,7,0.964286,,,,
white_man,white,man,Axle,1,4,1.000000,,,,
white_man,white,man,Bartley,1,7,0.934092,1.000000,32,,
white_man,white,man,Baxter,1,6,0.785533,1.000000,15,,
white_man,white,man,Ben,1,3,0.749482,0.771290,634,,
white_man,white,man,Bill,1,4,0.800306,0.838980,590,,
white_man,white,man,Billy,1,5,0.834052,0.843010,1274,,
white_man,white,man,Binyomin,1,8,1.000000,,,,
white_man,white,man,Bjorn,1,5,0.698545,1.000000,41,,
white_man,white,man,Boruch,1,6,1.000000,,,,
white_man,white,man,Bradley,1,7,0.931391,0.988670,3619,1.0000,0.0000
white_man,white,man,Brent,1,5,0.899027,0.972490,2108,1.0000,0.0000
white_man,white,man,Brian,1,5,0.838144,0.961820,18306,1.0000,0.0000
white_man,white,man,Bridger,1,7,0.990741,,,,
white_man,white,man,Broden,1,6,0.966667,,,,
white_man,white,man,Brodey,1,6,1.000000,,,,
white_man,white,man,Brody,1,5,0.973437,1.000000,22,,
white_man,white,man,Buck,1,4,0.898990,1.000000,18,,
white_man,white,man,Bucky,1,5,0.967480,,,,
white_man,white,man,Cade,1,4,0.965775,1.000000,19,,
white_man,white,man,Cayde,1,5,1.000000,,,,
white_man,white,man,Chad,1,4,0.906121,0.977160,3153,1.0000,0.0000
white_man,white,man,Chester,1,7,0.700347,0.857140,406,,
white_man,white,man,Chuck,1,5,0.768731,0.800000,115,,
white_man,white,man,Coen,1,4,0.972222,,,,
white_man,white,man,Coleson,1,7,0.979730,,,,
white_man,white,man,Colt,1,4,0.984709,1.000000,17,,
white_man,white,man,Colten,1,6,0.960334,,,,
white_man,white,man,Colter,1,6,0.991747,,,,
white_man,white,man,Conor,1,5,0.968364,1.000000,47,,
white_man,white,man,Corbett,1,7,0.889697,1.000000,16,,
white_man,white,man,Cort,1,4,0.938531,1.000000,17,,
white_man,white,man,Crew,1,4,0.975000,,,,
white_man,white,man,Cru,1,3,1.000000,,,,
white_man,white,man,Dan,1,3,0.777170,0.872100,1337,,
white_man,white,man,Darek,1,5,0.715686,1.000000,16,,
white_man,white,man,Dave,1,4,0.508095,0.828130,448,,
white_man,white,man,Daxon,1,5,1.000000,,,,
white_man,white,man,Deagan,1,6,1.000000,,,,
white_man,white,man,Demetrios,1,9,0.875591,1.000000,49,,
white_man,white,man,Dennis,1,6,0.820096,0.934900,7681,,
white_man,white,man,Don,1,3,0.779188,0.876300,1253,,
white_man,white,man,Dov,1,3,0.910473,1.000000,24,,
white_man,white,man,Dusten,1,6,0.986376,,,,
white_man,white,man,Dustin,1,6,0.951327,0.971160,1179,1.0000,0.0000
white_man,white,man,Dutton,1,6,1.000000,,,,
white_man,white,man,Elwin,1,5,0.675926,1.000000,16,,
white_man,white,man,Ethan,1,5,0.898840,0.941630,257,,
white_man,white,man,Evangelos,1,9,0.915094,1.000000,27,,
white_man,white,man,Gary,1,4,0.872276,0.953960,12141,1.0000,0.0000
white_man,white,man,Gatlin,1,6,0.980392,,,,
white_man,white,man,Graeme,1,6,0.916399,1.000000,55,,
white_man,white,man,Graig,1,5,0.680315,1.000000,22,,
white_man,white,man,Grant,1,5,0.912782,0.961020,744,,
white_man,white,man,Grayden,1,7,0.958333,,,,
white_man,white,man,Graydon,1,7,0.947781,1.000000,19,,
white_man,white,man,Greg,1,4,0.859004,0.949070,1551,1.0000,0.0000
white_man,white,man,Gunther,1,7,0.765640,1.000000,19,,
white_man,white,man,Gustav,1,6,0.913961,1.000000,15,,
white_man,white,man,Guy,1,3,0.853341,0.934390,884,,
white_man,white,man,Hank,1,4,0.876089,0.785710,42,,
white_man,white,man,Harrison,1,8,0.783016,0.674420,86,,
white_man,white,man,Hendrik,1,7,0.872449,1.000000,20,,
white_man,white,man,Henry,1,5,0.590411,0.664250,2758,,
white_man,white,man,Herbert,1,7,0.651909,0.821310,929,,
white_man,white,man,Iain,1,4,0.921071,1.000000,47,,
white_man,white,man,Jack,1,4,0.928559,0.932980,3253,,
white_man,white,man,Jake,1,4,0.867838,0.888270,179,,
white_man,white,man,Jakeb,1,5,0.982818,,,,
white_man,white,man,Jarett,1,6,0.763410,1.000000,16,,
white_man,white,man,Jeb,2,3,0.977649,1.000000,24,,
white_man,white,man,Jed,1,3,0.902749,1.000000,124,,
white_man,white,man,Jeromy,1,6,0.798317,1.000000,26,,
white_man,white,man,Jhett,1,5,1.000000,,,,
white_man,white,man,Johnpaul,1,8,0.623005,1.000000,15,,
white_man,white,man,Justin,1,6,0.783066,0.946850,4083,1.0000,0.0000
white_man,white,man,Kacper,1,6,1.000000,,,,
white_man,white,man,Keith,1,5,0.718688,0.929570,5495,,
white_man,white,man,Ken,1,3,0.677307,0.716950,590,,
white_man,white,man,Kent,1,4,0.857315,0.931900,1160,,
white_man,white,man,Kolten,1,6,0.964000,,,,
white_man,white,man,Kolter,1,6,1.000000,,,,
white_man,white,man,Kurt,1,4,0.912324,0.979090,1674,1.0000,0.0000
white_man,white,man,Laird,1,5,0.925444,1.000000,15,,
white_man,white,man,Lance,1,5,0.795775,0.932220,1254,,
white_man,white,man,Lochlan,1,7,1.000000,,,,
white_man,white,man,Maksim,1,6,0.931330,1.000000,32,,
white_man,white,man,Mathieu,1,7,0.535369,1.000000,21,,
white_man,white,man,Menno,1,5,1.000000,,,,
white_man,white,man,Micahel,1,7,0.725159,1.000000,35,,
white_man,white,man,Mordechai,1,9,0.949013,1.000000,23,,
white_man,white,man,Nels,1,4,0.974702,,,,
white_man,white,man,Niall,1,5,0.847114,1.000000,30,,
white_man,white,man,Nicholaus,1,9,0.724957,1.000000,15,,
white_man,white,man,Nick,1,4,0.798760,0.856880,545,,
white_man,white,man,Niels,1,5,0.900116,1.000000,34,,
white_man,white,man,Niklas,1,6,0.981651,,,,
white_man,white,man,Nikolaus,1,8,0.849453,1.000000,17,,
white_man,white,man,Ole,1,3,0.856764,1.000000,23,,
white_man,white,man,Oliver,1,6,0.519552,0.663460,312,,
white_man,white,man,Orrin,1,5,0.547986,1.000000,16,,
white_man,white,man,Pasquale,1,8,0.962678,0.974680,158,,
white_man,white,man,Patryk,1,6,0.992701,,,,
white_man,white,man,Paul,1,4,0.865161,0.931430,17354,,
white_man,white,man,Pete,1,4,0.731634,0.711300,239,,
white_man,white,man,Phil,1,4,0.739217,0.821990,191,,
white_man,white,man,Pieter,2,6,0.982051,1.000000,46,,
white_man,white,man,Riaan,1,5,1.000000,,,,
white_man,white,man,Riker,1,5,1.000000,,,,
white_man,white,man,Robb,1,4,0.962017,0.956520,69,,
white_man,white,man,Roger,1,5,0.849345,0.928420,4373,,
white_man,white,man,Ron,1,3,0.588708,0.884420,597,,
white_man,white,man,Ronen,1,5,0.835920,1.000000,15,,
white_man,white,man,Rustin,1,6,0.936203,1.000000,22,,
white_man,white,man,Ryan,1,4,0.862716,0.957450,6510,1.0000,0.0000
white_man,white,man,Saverio,1,7,0.915493,1.000000,25,,
white_man,white,man,Scot,1,4,0.974118,0.975000,320,,
white_man,white,man,Scott,2,5,0.962927,0.983110,14744,1.0000,0.0000
white_man,white,man,Seamus,1,6,0.937601,1.000000,31,,
white_man,white,man,Shlomo,1,6,0.860631,1.000000,29,,
white_man,white,man,Shmuel,1,6,0.870821,1.000000,15,,
white_man,white,man,Stavros,1,7,0.952996,1.000000,21,,
white_man,white,man,Steffen,1,7,0.785857,1.000000,15,,
white_man,white,man,Steven,1,6,0.867832,0.952710,18797,1.0000,0.0000
white_man,white,man,Stryker,1,7,1.000000,,,,
white_man,white,man,Tadd,1,4,0.944169,1.000000,18,,
white_man,white,man,Tim,1,3,0.851346,0.908810,987,,
white_man,white,man,Timmy,1,5,0.714196,0.805560,72,,
white_man,white,man,Todd,1,4,0.916357,0.978850,5722,1.0000,0.0000
white_man,white,man,Tom,1,3,0.706825,0.820350,963,,
white_man,white,man,Truett,1,6,0.974587,,,,
white_man,white,man,Tucker,1,6,0.969267,1.000000,36,,
white_man,white,man,Tzvi,1,4,0.863354,1.000000,15,,
white_man,white,man,Vasilios,1,8,0.968268,0.975000,40,,
white_man,white,man,Walter,1,6,0.696826,0.857960,3147,,
white_man,white,man,William,1,7,0.870507,0.945230,31935,1.0000,0.0000
white_man,white,man,Yakov,1,5,0.909469,1.000000,35,,
white_man,white,man,Yitzchok,1,8,0.971429,,,,
white_man,white,man,Zakkary,1,7,0.986726,,,,
white_woman,white,woman,Alice,1,5,0.722023,0.801350,1923,,
white_woman,white,woman,Alyse,1,5,0.775972,1.000000,25,,
white_woman,white,woman,Alysia,1,6,0.533343,1.000000,33,,
white_woman,white,woman,Amber,1,5,0.799327,0.950550,1557,1.0000,0.0000
white_woman,white,woman,Ann,1,3,0.907142,0.948550,5151,1.0000,0.0000
white_woman,white,woman,Aoife,1,5,0.982558,,,,
white_woman,white,woman,April,1,5,0.710528,0.884480,1662,,
white_woman,white,woman,Ashley,1,6,0.711122,0.936990,2333,,
white_woman,white,woman,Audrey,1,6,0.669315,0.847220,1008,,
white_woman,white,woman,Aviva,1,5,0.831065,1.000000,34,,
white_woman,white,woman,Baila,1,5,1.000000,,,,
white_woman,white,woman,Barb,1,4,0.987013,,,,
white_woman,white,woman,Barbara,1,7,0.790576,0.930680,12854,,
white_woman,white,woman,Beckie,1,6,0.928920,1.000000,21,,
white_woman,white,woman,Becky,1,5,0.925824,0.934980,769,,
white_woman,white,woman,Beth,2,4,0.973717,0.985660,2511,1.0000,0.0000
