name,race,gender,subgroup,source,race_specificity,female_share,obs
Bruce,White,man,white_man,tzioumis,95.568,0.0,5348
Gary,White,man,white_man,tzioumis,95.396,0.0003780022482227957,12141
Steven,White,man,white_man,tzioumis,95.271,0.0005117071944820403,18797
Jeff,White,man,white_man,tzioumis,95.218,0.0,1924
Barry,White,man,white_man,tzioumis,95.149,0.0,2515
Donald,White,man,white_man,tzioumis,95.057,0.001986203650023007,12058
Nicholas,White,man,white_man,tzioumis,95.035,0.0005560493351488855,4673
Dean,White,man,white_man,tzioumis,94.986,0.008058064893762316,2174
Greg,White,man,white_man,tzioumis,94.907,0.0,1551
Neil,White,man,white_man,tzioumis,94.783,0.0,1476
Russell,White,man,white_man,tzioumis,94.746,0.0,3312
Justin,White,man,white_man,tzioumis,94.685,0.002981039944866788,4083
Christopher,White,man,white_man,tzioumis,94.544,0.00395532265680029,20768
William,White,man,white_man,tzioumis,94.523,0.0034136750865679886,31935
Robert,White,man,white_man,tzioumis,94.511,0.003924966136448285,48260
Sean,White,man,white_man,tzioumis,94.509,0.0,3934
John,White,man,white_man,tzioumis,94.384,0.003904810952642302,51696
Beth,White,woman,white_woman,tzioumis,98.566,1.0,2511
Megan,White,woman,white_woman,tzioumis,98.301,1.0,2296
Kristin,White,woman,white_woman,tzioumis,98.26,0.9981780985048194,2586
Kristen,White,woman,white_woman,tzioumis,98.229,0.9992640388861314,2484
Jill,White,woman,white_woman,tzioumis,98.156,1.0,4229
Lindsay,White,woman,white_woman,tzioumis,98.0,0.9519765110283587,1050
Erin,White,woman,white_woman,tzioumis,97.949,0.9768149060634733,3413
Colleen,White,woman,white_woman,tzioumis,97.789,1.0,2533
Kathleen,White,woman,white_woman,tzioumis,97.654,0.9999299778413749,10868
Heather,White,woman,white_woman,tzioumis,97.397,0.9995180984572364,5801
Holly,White,woman,white_woman,tzioumis,97.382,0.9974701401297846,2368
Laurie,White,woman,white_woman,tzioumis,97.286,0.9973412449363839,2800
Kathryn,White,woman,white_woman,tzioumis,97.225,0.9998441158131272,4720
Heidi,White,woman,white_woman,tzioumis,97.16,1.0,2183
Jodi,White,woman,white_woman,tzioumis,97.108,1.0,1314
Lori,White,woman,white_woman,tzioumis,96.962,1.0,5694
Suzanne,White,woman,white_woman,tzioumis,96.839,1.0,3986
Lynne,White,woman,white_woman,tzioumis,96.76,1.0,1173
Bonnie,White,woman,white_woman,tzioumis,96.683,0.9789579113910026,2864
Maureen,White,woman,white_woman,tzioumis,96.599,1.0,2558
Jeanne,White,woman,white_woman,tzioumis,96.388,1.0,1938
Alison,White,woman,white_woman,tzioumis,96.294,1.0,1403
Susan,White,woman,white_woman,tzioumis,96.281,0.9986581784026359,19604
Lauren,White,woman,white_woman,tzioumis,96.238,0.9874106276409178,2286
Anne,White,woman,white_woman,tzioumis,96.037,1.0,4239
Molly,White,woman,white_woman,tzioumis,96.032,1.0,1008
Amy,White,woman,white_woman,tzioumis,95.56,0.9990760724244623,9775
Vicki,White,woman,white_woman,tzioumis,95.443,1.0,1909
Allison,White,woman,white_woman,tzioumis,95.378,0.9772116553825829,1774
Kristi,White,woman,white_woman,tzioumis,95.288,1.0,1040
Kristine,White,woman,white_woman,tzioumis,95.275,1.0,1566
Carrie,White,woman,white_woman,tzioumis,95.22,0.9968511660843017,2385
Carole,White,woman,white_woman,tzioumis,95.16,1.0,1281
Dawn,White,woman,white_woman,tzioumis,95.147,1.0,3977
Julie,White,woman,white_woman,tzioumis,95.087,1.0,8753
Donna,White,woman,white_woman,tzioumis,95.083,0.9990584425320099,8969
Shelley,White,woman,white_woman,tzioumis,95.057,0.990454313425217,1133
Amber,White,woman,white_woman,tzioumis,95.055,1.0,1557
Ellen,White,woman,white_woman,tzioumis,94.971,0.9995936611133686,2744
Ann,White,woman,white_woman,tzioumis,94.855,0.999846823434958,5151
Judith,White,woman,white_woman,tzioumis,94.76,0.9983645308901336,5763
Karen,White,woman,white_woman,tzioumis,94.706,0.9987175943839478,14904
Michele,White,woman,white_woman,tzioumis,94.705,0.9981314816779132,3456
Kristina,White,woman,white_woman,tzioumis,94.688,1.0,1186
Christy,White,woman,white_woman,tzioumis,94.651,0.9982334729557457,1047
Shelly,White,woman,white_woman,tzioumis,94.6,0.985971856717197,1074
Katie,White,woman,white_woman,tzioumis,94.505,1.0,1110
Eileen,White,woman,white_woman,tzioumis,94.485,1.0,2031
Carol,White,woman,white_woman,tzioumis,94.481,0.9871401881705393,9060
Diane,White,woman,white_woman,tzioumis,94.47,0.9999012981001586,7305
Roosevelt,Black,man,black_man,tzioumis,92.308,0.0,65
Jermaine,Black,man,black_man,tzioumis,88.406,0.0,69
Darnell,Black,man,black_man,tzioumis,82.192,0.0,73
Alphonso,Black,man,black_man,tzioumis,76.786,0.0,56
Demetrius,Black,man,black_man,tzioumis,70.0,0.0,50
Cornell,Black,man,black_man,tzioumis,64.865,0.0,37
Reginald,Black,man,black_man,tzioumis,63.655,0.0,487
Cedric,Black,man,black_man,tzioumis,62.121,0.0,132
Cleveland,Black,man,black_man,tzioumis,60.465,0.0,43
Sylvester,Black,man,black_man,tzioumis,60.194,0.0,103
Tyrone,Black,man,black_man,tzioumis,59.542,0.0,262
Prince,Black,man,black_man,tzioumis,59.375,0.0,32
Donnell,Black,man,black_man,tzioumis,52.083,0.0,48
Jarvis,Black,man,black_man,tzioumis,51.163,0.0,43
Errol,Black,man,black_man,tzioumis,49.462,0.0,93
Lamont,Black,man,black_man,tzioumis,49.296,0.0,71
Isaiah,Black,man,black_man,tzioumis,49.091,0.0,55
Linwood,Black,man,black_man,tzioumis,48.077,0.0,52
Quincy,Black,man,black_man,tzioumis,47.5,0.0,40
Otis,Black,man,black_man,tzioumis,47.328,0.0,131
Ulysses,Black,man,black_man,tzioumis,46.667,0.0,45
Shelton,Black,man,black_man,tzioumis,46.154,0.0,39
Chauncey,Black,man,black_man,tzioumis,45.455,0.0,33
Wilbert,Black,man,black_man,tzioumis,45.192,0.0,104
Deon,Black,man,black_man,tzioumis,44.898,0.0,49
Solomon,Black,man,black_man,tzioumis,44.828,0.0,116
Quinton,Black,man,black_man,tzioumis,44.444,0.0,45
Alonzo,Black,man,black_man,tzioumis,44.444,0.0,81
Rodrick,Black,man,black_man,tzioumis,43.902,0.0,41
Horace,Black,man,black_man,tzioumis,41.935,0.0,155
Marlon,Black,man,black_man,tzioumis,41.848,0.0,184
Dexter,Black,man,black_man,tzioumis,41.538,0.0,130
Rufus,Black,man,black_man,tzioumis,41.463,0.0,82
Percy,Black,man,black_man,tzioumis,40.909,0.0,66
Kelvin,Black,man,black_man,tzioumis,40.517,0.0,232
Earnest,Black,man,black_man,tzioumis,40.449,0.0,89
Antoine,Black,man,black_man,tzioumis,40.385,0.0,104
Evans,Black,man,black_man,tzioumis,40.0,0.0,30
Terrell,Black,man,black_man,tzioumis,37.736,0.0,106
Kendrick,Black,man,black_man,tzioumis,37.143,0.0,35
Elbert,Black,man,black_man,tzioumis,37.113,0.0,97
Elijah,Black,man,black_man,tzioumis,36.735,0.0,98
Monroe,Black,man,black_man,tzioumis,36.667,0.0,30
Napoleon,Black,man,black_man,tzioumis,36.364,0.0,33
Major,Black,man,black_man,tzioumis,36.111,0.0,36
Desmond,Black,man,black_man,tzioumis,35.789,0.0,95
Moses,Black,man,black_man,tzioumis,35.577,0.0,104
Roscoe,Black,man,black_man,tzioumis,35.294,0.0,51
Rohan,Black,man,black_man,tzioumis,35.294,0.0,34
Derrick,Black,man,black_man,tzioumis,35.117,0.0,598
Latanya,Black,woman,black_woman,tzioumis,96.875,1.0,32
Latonya,Black,woman,black_woman,tzioumis,93.939,1.0,66
Latoya,Black,woman,black_woman,tzioumis,91.398,1.0,93
Lakisha,Black,woman,black_woman,tzioumis,91.176,1.0,34
Latrice,Black,woman,black_woman,tzioumis,90.625,1.0,32
Tameka,Black,woman,black_woman,tzioumis,90.0,1.0,30
Tamika,Black,woman,black_woman,tzioumis,89.024,1.0,82
Ebony,Black,woman,black_woman,tzioumis,87.931,1.0,58
Latasha,Black,woman,black_woman,tzioumis,86.585,1.0,82
Earnestine,Black,woman,black_woman,tzioumis,83.871,1.0,31
Tanisha,Black,woman,black_woman,tzioumis,80.952,1.0,42
Essie,Black,woman,black_woman,tzioumis,79.412,0.9775645914040814,34
Lawanda,Black,woman,black_woman,tzioumis,75.676,1.0,37
Keisha,Black,woman,black_woman,tzioumis,72.5,1.0,80
Alfreda,Black,woman,black_woman,tzioumis,71.429,1.0,35
Octavia,Black,woman,black_woman,tzioumis,70.968,1.0,31
Kenya,Black,woman,black_woman,tzioumis,70.833,0.951750972762646,48
Fannie,Black,woman,black_woman,tzioumis,66.667,0.9983479138254111,60
Felecia,Black,woman,black_woman,tzioumis,65.957,1.0,47
Latisha,Black,woman,black_woman,tzioumis,65.0,1.0,40
Mattie,Black,woman,black_woman,tzioumis,64.078,0.9952293592681012,103
Mable,Black,woman,black_woman,tzioumis,60.526,1.0,38
Odessa,Black,woman,black_woman,tzioumis,60.526,1.0,38
Hattie,Black,woman,black_woman,tzioumis,60.0,0.9964749443232486,65
Aisha,Black,woman,black_woman,tzioumis,59.722,1.0,72
Mamie,Black,woman,black_woman,tzioumis,57.143,0.9989755326032256,56
Lillie,Black,woman,black_woman,tzioumis,55.738,0.9958645939398841,122
Marva,Black,woman,black_woman,tzioumis,54.321,1.0,81
Jamila,Black,woman,black_woman,tzioumis,52.381,1.0,42
Lula,Black,woman,black_woman,tzioumis,52.055,0.9986439447327397,73
Althea,Black,woman,black_woman,tzioumis,50.649,1.0,77
Eula,Black,woman,black_woman,tzioumis,50.0,0.9983906993521177,46
Minnie,Black,woman,black_woman,tzioumis,48.889,0.9947540396796797,90
Earline,Black,woman,black_woman,tzioumis,48.485,1.0,33
Renita,Black,woman,black_woman,tzioumis,46.154,1.0,52
Kia,Black,woman,black_woman,tzioumis,45.714,1.0,35
Nettie,Black,woman,black_woman,tzioumis,45.652,1.0,46
Ola,Black,woman,black_woman,tzioumis,45.0,0.9874060767611211,40
Patience,Black,woman,black_woman,tzioumis,44.444,1.0,36
Deloris,Black,woman,black_woman,tzioumis,43.678,1.0,87
Rosetta,Black,woman,black_woman,tzioumis,43.243,1.0,74
Gwendolyn,Black,woman,black_woman,tzioumis,43.087,1.0,622
Demetria,Black,woman,black_woman,tzioumis,41.463,1.0,41
Ernestine,Black,woman,black_woman,tzioumis,41.071,1.0,112
Bettye,Black,woman,black_woman,tzioumis,41.026,1.0,78
Bessie,Black,woman,black_woman,tzioumis,40.984,0.9958149081984017,122
Myrtle,Black,woman,black_woman,tzioumis,40.26,0.9967721308018314,77
India,Black,woman,black_woman,tzioumis,40.0,1.0,30
Dionne,Black,woman,black_woman,tzioumis,39.744,1.0,78
Evette,Black,woman,black_woman,tzioumis,37.5,1.0,32
