cue_family,cue_group,cue_value,liberal_score
implicit_demographic,black_man,Odell,0.4643
implicit_demographic,black_man,Omar,0.3393
implicit_demographic,black_man,Omarion,0.4018
implicit_demographic,black_man,Otis,0.4554
implicit_demographic,black_man,Percy,0.4286
implicit_demographic,black_man,Prince,0.4107
implicit_demographic,black_man,Quentin,0.4286
implicit_demographic,black_man,Quincy,0.3839
implicit_demographic,black_man,Quinton,0.4018
implicit_demographic,black_man,Raquan,0.4107
implicit_demographic,black_man,Rayquan,0.3929
implicit_demographic,black_man,Rayshaun,0.4464
implicit_demographic,black_man,Reginald,0.4732
implicit_demographic,black_man,Rodney,0.4554
implicit_demographic,black_man,Rodrick,0.4196
implicit_demographic,black_man,Roosevelt,0.4911
implicit_demographic,black_man,Roscoe,0.4464
implicit_demographic,black_man,Rosevelt,0.4375
implicit_demographic,black_man,Rufus,0.4464
implicit_demographic,black_man,Sammie,0.4196
implicit_demographic,black_man,Shelton,0.4464
implicit_demographic,black_man,Solomon,0.4107
implicit_demographic,black_man,Sylvester,0.3929
implicit_demographic,black_man,Taquan,0.4107
implicit_demographic,black_man,Tavares,0.4464
implicit_demographic,black_man,Tavaris,0.4375
implicit_demographic,black_man,Tayshawn,0.3661
implicit_demographic,black_man,Tayvion,0.4018
implicit_demographic,black_man,Tayvon,0.375
implicit_demographic,black_man,Terrance,0.3929
implicit_demographic,black_man,Terrell,0.4375
implicit_demographic,black_man,Tyjuan,0.3839
implicit_demographic,black_man,Tymir,0.4643
implicit_demographic,black_man,Tyquan,0.4107
implicit_demographic,black_man,Tyreek,0.4375
implicit_demographic,black_man,Tyrek,0.3839
implicit_demographic,black_man,Tyrone,0.4018
implicit_demographic,black_man,Tywan,0.4196
implicit_demographic,black_man,Ulysses,0.375
implicit_demographic,black_man,Uzziah,0.3571
implicit_demographic,black_man,Vernon,0.4643
implicit_demographic,black_man,Wilbert,0.4375
implicit_demographic,black_man,Willie,0.4643
implicit_demographic,black_man,Xzavion,0.4554
implicit_demographic,black_woman,Aisha,0.4107
implicit_demographic,black_woman,Alaiyah,0.4286
implicit_demographic,black_woman,Albertha,0.4196
implicit_demographic,black_woman,Alfreda,0.4018
implicit_demographic,black_woman,Alisha,0.4554
implicit_demographic,black_woman,Althea,0.4107
implicit_demographic,black_woman,Amyiah,0.3482
implicit_demographic,black_woman,Asha,0.3482
implicit_demographic,black_woman,Ayanna,0.4107
implicit_demographic,black_woman,Bessie,0.4107
implicit_demographic,black_woman,Bettye,0.3839
implicit_demographic,black_woman,Breasia,0.4375
implicit_demographic,black_woman,Chandra,0.4196
implicit_demographic,black_woman,Damaris,0.4643
implicit_demographic,black_woman,Damiyah,0.4018
implicit_demographic,black_woman,Deloris,0.4643
implicit_demographic,black_woman,Demetria,0.3929
implicit_demographic,black_woman,Desiree,0.3929
implicit_demographic,black_woman,Earline,0.4464
implicit_demographic,black_woman,Earnestine,0.4554
implicit_demographic,black_woman,Ebony,0.375
implicit_demographic,black_woman,Erlinda,0.3839
implicit_demographic,black_woman,Ernestine,0.4286
implicit_demographic,black_woman,Essie,0.4643
implicit_demographic,black_woman,Eula,0.5268
implicit_demographic,black_woman,Fannie,0.4196
implicit_demographic,black_woman,Fatima,0.4107
implicit_demographic,black_woman,Fatou,0.3929
implicit_demographic,black_woman,Felecia,0.3839
implicit_demographic,black_woman,Gwendolyn,0.4107
implicit_demographic,black_woman,Hattie,0.4464
implicit_demographic,black_woman,Ivory,0.4375
implicit_demographic,black_woman,Jabria,0.4196
implicit_demographic,black_woman,Jakyra,0.3661
implicit_demographic,black_woman,Jalayah,0.375
implicit_demographic,black_woman,Jameka,0.3929
implicit_demographic,black_woman,Jamesha,0.4286
implicit_demographic,black_woman,Jamila,0.3661
implicit_demographic,black_woman,Jamiya,0.3929
implicit_demographic,black_woman,Jamya,0.3839
implicit_demographic,black_woman,Jamyah,0.375
implicit_demographic,black_woman,Jamyra,0.3839
implicit_demographic,black_woman,Janasia,0.3839
implicit_demographic,black_woman,Janyah,0.4286
implicit_demographic,black_woman,Janyla,0.4196
implicit_demographic,black_woman,Jasmin,0.4375
implicit_demographic,black_woman,Jasmine,0.3839
implicit_demographic,black_woman,Kamesha,0.4464
implicit_demographic,black_woman,Kamiya,0.4375
implicit_demographic,black_woman,Kaneisha,0.4107
implicit_demographic,black_woman,Kaniya,0.4107
implicit_demographic,black_woman,Keisha,0.4375
implicit_demographic,black_woman,Kenya,0.3929
implicit_demographic,black_woman,Kia,0.3839
implicit_demographic,black_woman,Ladonna,0.4196
implicit_demographic,black_woman,Lakendra,0.4286
implicit_demographic,black_woman,Lakenya,0.4375
implicit_demographic,black_woman,Lakia,0.5
implicit_demographic,black_woman,Lakisha,0.3929
implicit_demographic,black_woman,Laniya,0.4107
implicit_demographic,black_woman,Laquanda,0.4196
implicit_demographic,black_woman,Lashunda,0.4375
implicit_demographic,black_woman,Latanya,0.3839
implicit_demographic,black_woman,Latarsha,0.4107
implicit_demographic,black_woman,Latasha,0.4107
implicit_demographic,black_woman,Latisha,0.4196
implicit_demographic,black_woman,Latonya,0.4196
implicit_demographic,black_woman,Latoya,0.4464
implicit_demographic,black_woman,Latrice,0.4286
implicit_demographic,black_woman,Lawanda,0.4464
implicit_demographic,black_woman,Leilani,0.3929
implicit_demographic,black_woman,Leticia,0.375
implicit_demographic,black_woman,Lillie,0.4375
implicit_demographic,black_woman,Lula,0.375
implicit_demographic,black_woman,Mable,0.4286
implicit_demographic,black_woman,Mamie,0.3571
implicit_demographic,black_woman,Marva,0.4375
implicit_demographic,black_woman,Mattie,0.4554
implicit_demographic,black_woman,Maya,0.4018
implicit_demographic,black_woman,Mayra,0.4196
implicit_demographic,black_woman,Mercedes,0.3929
implicit_demographic,black_woman,Minnie,0.3929
implicit_demographic,black_woman,Monique,0.4821
implicit_demographic,black_woman,Myeisha,0.4375
implicit_demographic,black_woman,Naomi,0.4464
implicit_demographic,black_woman,Natasha,0.4107
implicit_demographic,black_woman,Nettie,0.3929
implicit_demographic,black_woman,Nisha,0.4107
implicit_demographic,black_woman,Noemi,0.4018
implicit_demographic,black_woman,Octavia,0.4375
implicit_demographic,black_woman,Odessa,0.4196
implicit_demographic,black_woman,Ola,0.4732
implicit_demographic,black_woman,Ora,0.4286
implicit_demographic,black_woman,Patience,0.4464
implicit_demographic,black_woman,Quanisha,0.4911
implicit_demographic,black_woman,Renita,0.4018
implicit_demographic,black_woman,Rosetta,0.4107
implicit_demographic,black_woman,Roshanda,0.4018
implicit_demographic,black_woman,Rowena,0.3929
implicit_demographic,black_woman,Serena,0.3929
implicit_demographic,black_woman,Shakita,0.3661
implicit_demographic,black_woman,Shameka,0.4464
implicit_demographic,black_woman,Shamia,0.3839
implicit_demographic,black_woman,Shaquana,0.4107
implicit_demographic,black_woman,Sharhonda,0.4286
implicit_demographic,black_woman,Shawanda,0.4107
implicit_demographic,black_woman,Sheena,0.375
implicit_demographic,black_woman,Shemeka,0.4107
implicit_demographic,black_woman,Shemika,0.4196
implicit_demographic,black_woman,Shenita,0.4107
implicit_demographic,black_woman,Sheronda,0.4286
implicit_demographic,black_woman,Takia,0.4554
implicit_demographic,black_woman,Tamara,0.3929
implicit_demographic,black_woman,Tameka,0.3571
implicit_demographic,black_woman,Tamekia,0.4732
implicit_demographic,black_woman,Tamika,0.4018
implicit_demographic,black_woman,Tania,0.3393
implicit_demographic,black_woman,Tanisha,0.3929
implicit_demographic,black_woman,Taniyah,0.4018
implicit_demographic,black_woman,Tanya,0.4107
implicit_demographic,black_woman,Tasha,0.4018
implicit_demographic,black_woman,Temeka,0.4018
implicit_demographic,black_woman,Tkeyah,0.4375
implicit_demographic,black_woman,Tomeka,0.3482
implicit_demographic,black_woman,Tonia,0.3125
implicit_demographic,black_woman,Tyeisha,0.4375
implicit_demographic,black_woman,Tyeshia,0.4107
implicit_demographic,black_woman,Tyonna,0.3929
implicit_demographic,black_woman,Venus,0.4196
implicit_demographic,black_woman,Wanda,0.375
implicit_demographic,black_woman,Yolanda,0.4375
implicit_demographic,black_woman,Yvette,0.3839
implicit_demographic,black_woman,Yvonne,0.4286
implicit_demographic,white_man,Adam,0.3304
implicit_demographic,white_man,Alan,0.4375
implicit_demographic,white_man,Alastair,0.4018
implicit_demographic,white_man,Aleksandar,0.3929
implicit_demographic,white_man,Alistair,0.4554
implicit_demographic,white_man,Andy,0.3839
implicit_demographic,white_man,Arvil,0.4643
implicit_demographic,white_man,Athanasios,0.3929
implicit_demographic,white_man,Avrohom,0.3839
implicit_demographic,white_man,Axle,0.4196
implicit_demographic,white_man,Bartley,0.4018
implicit_demographic,white_man,Baxter,0.4554
implicit_demographic,white_man,Ben,0.3393
implicit_demographic,white_man,Bill,0.4643
implicit_demographic,white_man,Billy,0.4196
implicit_demographic,white_man,Binyomin,0.3661
implicit_demographic,white_man,Bjorn,0.4375
implicit_demographic,white_man,Boruch,0.4286
implicit_demographic,white_man,Bradley,0.3929
implicit_demographic,white_man,Brent,0.4018
implicit_demographic,white_man,Brian,0.4643
implicit_demographic,white_man,Bridger,0.3929
implicit_demographic,white_man,Broden,0.3929
implicit_demographic,white_man,Brodey,0.4286
implicit_demographic,white_man,Brody,0.4286
implicit_demographic,white_man,Buck,0.375
implicit_demographic,white_man,Bucky,0.3839
implicit_demographic,white_man,Cade,0.3929
implicit_demographic,white_man,Cayde,0.3839
implicit_demographic,white_man,Chad,0.4196
implicit_demographic,white_man,Chester,0.4018
implicit_demographic,white_man,Chuck,0.375
implicit_demographic,white_man,Coen,0.3839
implicit_demographic,white_man,Coleson,0.4554
implicit_demographic,white_man,Colt,0.4107
implicit_demographic,white_man,Colten,0.4107
implicit_demographic,white_man,Colter,0.4286
implicit_demographic,white_man,Conor,0.375
implicit_demographic,white_man,Corbett,0.3036
implicit_demographic,white_man,Cort,0.4286
implicit_demographic,white_man,Crew,0.3839
implicit_demographic,white_man,Cru,0.4554
implicit_demographic,white_man,Dan,0.4107
implicit_demographic,white_man,Darek,0.4286
implicit_demographic,white_man,Dave,0.4107
implicit_demographic,white_man,Daxon,0.4018
implicit_demographic,white_man,Deagan,0.4196
implicit_demographic,white_man,Demetrios,0.375
implicit_demographic,white_man,Dennis,0.375
implicit_demographic,white_man,Don,0.3393
implicit_demographic,white_man,Dov,0.4018
implicit_demographic,white_man,Dusten,0.3661
implicit_demographic,white_man,Dustin,0.375
implicit_demographic,white_man,Dutton,0.4018
implicit_demographic,white_man,Elwin,0.3929
implicit_demographic,white_man,Ethan,0.3036
implicit_demographic,white_man,Evangelos,0.4107
implicit_demographic,white_man,Gary,0.3482
implicit_demographic,white_man,Gatlin,0.3482
implicit_demographic,white_man,Graeme,0.4107
implicit_demographic,white_man,Graig,0.4107
implicit_demographic,white_man,Grant,0.375
implicit_demographic,white_man,Grayden,0.3929
implicit_demographic,white_man,Graydon,0.4286
implicit_demographic,white_man,Greg,0.4018
implicit_demographic,white_man,Gunther,0.3661
implicit_demographic,white_man,Gustav,0.4286
implicit_demographic,white_man,Guy,0.4196
implicit_demographic,white_man,Hank,0.3571
implicit_demographic,white_man,Harrison,0.4554
implicit_demographic,white_man,Hendrik,0.3839
implicit_demographic,white_man,Henry,0.4018
implicit_demographic,white_man,Herbert,0.3929
implicit_demographic,white_man,Iain,0.3929
implicit_demographic,white_man,Jack,0.4196
implicit_demographic,white_man,Jake,0.4018
implicit_demographic,white_man,Jakeb,0.4286
implicit_demographic,white_man,Jarett,0.4018
implicit_demographic,white_man,Jeb,0.3839
implicit_demographic,white_man,Jed,0.3661
implicit_demographic,white_man,Jeromy,0.4196
implicit_demographic,white_man,Jhett,0.4286
implicit_demographic,white_man,Johnpaul,0.4196
implicit_demographic,white_man,Justin,0.4107
implicit_demographic,white_man,Kacper,0.4018
implicit_demographic,white_man,Keith,0.4464
implicit_demographic,white_man,Ken,0.4286
implicit_demographic,white_man,Kent,0.4196
implicit_demographic,white_man,Kolten,0.4196
implicit_demographic,white_man,Kolter,0.4643
implicit_demographic,white_man,Kurt,0.4018
implicit_demographic,white_man,Laird,0.4107
implicit_demographic,white_man,Lance,0.3661
implicit_demographic,white_man,Lochlan,0.4196
implicit_demographic,white_man,Maksim,0.4286
implicit_demographic,white_man,Mathieu,0.4464
implicit_demographic,white_man,Menno,0.3929
implicit_demographic,white_man,Micahel,0.3929
implicit_demographic,white_man,Mordechai,0.3661
implicit_demographic,white_man,Nels,0.4018
implicit_demographic,white_man,Niall,0.3839
implicit_demographic,white_man,Nicholaus,0.4196
implicit_demographic,white_man,Nick,0.3482
implicit_demographic,white_man,Niels,0.4286
implicit_demographic,white_man,Niklas,0.4286
implicit_demographic,white_man,Nikolaus,0.4375
implicit_demographic,white_man,Ole,0.4732
implicit_demographic,white_man,Oliver,0.4107
implicit_demographic,white_man,Orrin,0.4018
implicit_demographic,white_man,Pasquale,0.4464
implicit_demographic,white_man,Patryk,0.4286
implicit_demographic,white_man,Paul,0.4554
implicit_demographic,white_man,Pete,0.3839
implicit_demographic,white_man,Phil,0.3393
implicit_demographic,white_man,Pieter,0.3929
implicit_demographic,white_man,Riaan,0.3214
implicit_demographic,white_man,Riker,0.4643
implicit_demographic,white_man,Robb,0.4018
implicit_demographic,white_man,Roger,0.4107
implicit_demographic,white_man,Ron,0.4107
implicit_demographic,white_man,Ronen,0.3929
implicit_demographic,white_man,Rustin,0.4107
implicit_demographic,white_man,Ryan,0.4018
implicit_demographic,white_man,Saverio,0.4554
implicit_demographic,white_man,Scot,0.4196
implicit_demographic,white_man,Scott,0.4107
implicit_demographic,white_man,Seamus,0.4286
implicit_demographic,white_man,Shlomo,0.4018
implicit_demographic,white_man,Shmuel,0.3482
implicit_demographic,white_man,Stavros,0.3839
implicit_demographic,white_man,Steffen,0.3839
implicit_demographic,white_man,Steven,0.4107
implicit_demographic,white_man,Stryker,0.4643
implicit_demographic,white_man,Tadd,0.3929
implicit_demographic,white_man,Tim,0.3839
implicit_demographic,white_man,Timmy,0.4018
implicit_demographic,white_man,Todd,0.4286
implicit_demographic,white_man,Tom,0.3393
implicit_demographic,white_man,Truett,0.375
implicit_demographic,white_man,Tucker,0.4375
implicit_demographic,white_man,Tzvi,0.3482
implicit_demographic,white_man,Vasilios,0.4643
implicit_demographic,white_man,Walter,0.4375
implicit_demographic,white_man,William,0.3929
implicit_demographic,white_man,Yakov,0.375
implicit_demographic,white_man,Yitzchok,0.3571
implicit_demographic,white_man,Zakkary,0.4018
implicit_demographic,white_woman,Alice,0.3839
implicit_demographic,white_woman,Alyse,0.4018
implicit_demographic,white_woman,Alysia,0.4554
implicit_demographic,white_woman,Amber,0.4554
implicit_demographic,white_woman,Ann,0.3304
implicit_demographic,white_woman,Aoife,0.4196
implicit_demographic,white_woman,April,0.375
implicit_demographic,white_woman,Ashley,0.3929
implicit_demographic,white_woman,Audrey,0.4643
implicit_demographic,white_woman,Aviva,0.375
implicit_demographic,white_woman,Baila,0.4554
implicit_demographic,white_woman,Barb,0.3839
implicit_demographic,white_woman,Barbara,0.4018
implicit_demographic,white_woman,Beckie,0.375
implicit_demographic,white_woman,Becky,0.3929
implicit_demographic,white_woman,Beth,0.4018
implicit_demographic,white_woman,Bethann,0.3661
implicit_demographic,white_woman,Bethanne,0.3571
implicit_demographic,white_woman,Beverly,0.4196
implicit_demographic,white_woman,Blakelee,0.4464
implicit_demographic,white_woman,Bobbijo,0.4107
implicit_demographic,white_woman,Bonni,0.4196
implicit_demographic,white_woman,Bridgit,0.5179
implicit_demographic,white_woman,Brilee,0.3661
implicit_demographic,white_woman,Brita,0.4018
implicit_demographic,white_woman,Brittany,0.4286
implicit_demographic,white_woman,Bronwyn,0.3482
implicit_demographic,white_woman,Bryleigh,0.4286
implicit_demographic,white_woman,Brylie,0.4107
implicit_demographic,white_woman,Brynley,0.3929
implicit_demographic,white_woman,Calleigh,0.4643
implicit_demographic,white_woman,Cami,0.4196
implicit_demographic,white_woman,Camie,0.4911
implicit_demographic,white_woman,Carma,0.4554
implicit_demographic,white_woman,Carolyn,0.4554
implicit_demographic,white_woman,Cathi,0.3661
implicit_demographic,white_woman,Cathy,0.3661
implicit_demographic,white_woman,Cayleigh,0.4464
implicit_demographic,white_woman,Charlene,0.3482
implicit_demographic,white_woman,Cheryl,0.3929
implicit_demographic,white_woman,Chloey,0.3929
implicit_demographic,white_woman,Christianne,0.3482
implicit_demographic,white_woman,Christine,0.4464
implicit_demographic,white_woman,Crista,0.3571
implicit_demographic,white_woman,Dalene,0.4196
implicit_demographic,white_woman,Dawn,0.4018
implicit_demographic,white_woman,Debbie,0.3304
implicit_demographic,white_woman,Dolly,0.3661
implicit_demographic,white_woman,Dusti,0.375
implicit_demographic,white_woman,Elke,0.4018
implicit_demographic,white_woman,Elyssa,0.4464
implicit_demographic,white_woman,Emaleigh,0.4196
implicit_demographic,white_woman,Emileigh,0.4286
implicit_demographic,white_woman,Emma,0.4196
implicit_demographic,white_woman,Emmaleigh,0.4643
implicit_demographic,white_woman,Gaylene,0.3929
implicit_demographic,white_woman,Gittel,0.4464
implicit_demographic,white_woman,Gwenyth,0.4643
implicit_demographic,white_woman,Hadlee,0.4464
implicit_demographic,white_woman,Hadleigh,0.4286
implicit_demographic,white_woman,Harli,0.3929
implicit_demographic,white_woman,Heather,0.4018
implicit_demographic,white_woman,Irelyn,0.4464
implicit_demographic,white_woman,Jane,0.4286
implicit_demographic,white_woman,Jayleigh,0.4286
implicit_demographic,white_woman,Jennine,0.3482
implicit_demographic,white_woman,Jill,0.4375
implicit_demographic,white_woman,Joette,0.4375
implicit_demographic,white_woman,Joline,0.4732
implicit_demographic,white_woman,Kalliope,0.4375
implicit_demographic,white_woman,Karalee,0.4375
implicit_demographic,white_woman,Karen,0.4018
implicit_demographic,white_woman,Katarina,0.4375
implicit_demographic,white_woman,Katelyn,0.4554
implicit_demographic,white_woman,Kathe,0.3929
implicit_demographic,white_woman,Kathleen,0.375
implicit_demographic,white_woman,Kathryn,0.4464
implicit_demographic,white_woman,Kathy,0.4286
implicit_demographic,white_woman,Katie,0.4107
implicit_demographic,white_woman,Kayleen,0.3661
implicit_demographic,white_woman,Kinlee,0.4554
implicit_demographic,white_woman,Kinsleigh,0.4554
implicit_demographic,white_woman,Kloie,0.4286
implicit_demographic,white_woman,Kristi,0.4107
implicit_demographic,white_woman,Kristyn,0.4107
implicit_demographic,white_woman,Krysta,0.4286
implicit_demographic,white_woman,Kynlee,0.4286
implicit_demographic,white_woman,Laura,0.3661
implicit_demographic,white_woman,Lauralee,0.4107
implicit_demographic,white_woman,Lauren,0.4196
implicit_demographic,white_woman,Liesl,0.4107
implicit_demographic,white_woman,Lilly,0.4554
implicit_demographic,white_woman,Lori,0.3929
implicit_demographic,white_woman,Louanne,0.4554
implicit_demographic,white_woman,Lyndsie,0.3929
implicit_demographic,white_woman,Lynlee,0.4375
implicit_demographic,white_woman,Lynnlee,0.3839
implicit_demographic,white_woman,Maddilyn,0.3839
implicit_demographic,white_woman,Mairead,0.5
implicit_demographic,white_woman,Mariellen,0.3839
implicit_demographic,white_woman,Marijo,0.4286
implicit_demographic,white_woman,Marya,0.4107
implicit_demographic,white_woman,Marylee,0.4196
implicit_demographic,white_woman,Maycie,0.3929
implicit_demographic,white_woman,Melanie,0.4375
implicit_demographic,white_woman,Melinda,0.4196
implicit_demographic,white_woman,Melissa,0.4732
implicit_demographic,white_woman,Merideth,0.375
implicit_demographic,white_woman,Merrie,0.4107
implicit_demographic,white_woman,Merrilee,0.3661
implicit_demographic,white_woman,Michaelene,0.4286
implicit_demographic,white_woman,Mindy,0.4286
implicit_demographic,white_woman,Molli,0.4554
implicit_demographic,white_woman,Molly,0.3929
implicit_demographic,white_woman,Nancee,0.4107
implicit_demographic,white_woman,Nancy,0.4196
implicit_demographic,white_woman,Nella,0.3661
implicit_demographic,white_woman,Niamh,0.3929
implicit_demographic,white_woman,Nicole,0.4196
implicit_demographic,white_woman,Nicoletta,0.4554
implicit_demographic,white_woman,Oakleigh,0.3929
implicit_demographic,white_woman,Phyllis,0.4196
implicit_demographic,white_woman,Raelee,0.2857
implicit_demographic,white_woman,Raeleigh,0.4554
implicit_demographic,white_woman,Ranae,0.4286
implicit_demographic,white_woman,Rebeca,0.4196
implicit_demographic,white_woman,Rebecca,0.3661
implicit_demographic,white_woman,Rebecka,0.4286
implicit_demographic,white_woman,Rivky,0.4286
implicit_demographic,white_woman,Rylea,0.4554
implicit_demographic,white_woman,Sally,0.3661
implicit_demographic,white_woman,Sara,0.3839
implicit_demographic,white_woman,Sharilyn,0.4911
implicit_demographic,white_woman,Sherry,0.4018
implicit_demographic,white_woman,Sheryle,0.3214
implicit_demographic,white_woman,Stephani,0.3929
implicit_demographic,white_woman,Sue,0.3393
implicit_demographic,white_woman,Suellen,0.3839
implicit_demographic,white_woman,Susette,0.4196
implicit_demographic,white_woman,Suzanne,0.3929
implicit_demographic,white_woman,Taunya,0.4196
implicit_demographic,white_woman,Tinley,0.4107
implicit_demographic,white_woman,Trudie,0.4375
implicit_demographic,white_woman,Tzipora,0.4107
implicit_demographic,white_woman,Vasiliki,0.3661
implicit_demographic,white_woman,Victoria,0.4286
implicit_demographic,white_woman,Violetta,0.4464
implicit_demographic,white_woman,Yana,0.375
implicit_demographic,white_woman,Yehudis,0.3661
